track_width [mm],Freq [GHz],"dB(S(2,1)) []",Loss / cm,
0.2185,21.125,-0.29516752,0.29516752,
0.2185,21.25,-0.296471487,0.296471487,
0.2185,21.375,-0.297763397,0.297763397,
0.2185,21.5,-0.299043306,0.299043306,
0.2185,21.625,-0.300311351,0.300311351,
0.2185,21.75,-0.301567757,0.301567757,
0.2185,21.875,-0.30281284,0.30281284,
0.2185,22,-0.304047019,0.304047019,
0.2185,22.125,-0.305270809,0.305270809,
0.2185,22.25,-0.306484834,0.306484834,
0.2185,22.375,-0.307689822,0.307689822,
0.2185,22.5,-0.308886606,0.308886606,
0.2185,22.625,-0.310076118,0.310076118,
0.2185,22.75,-0.31125939,0.31125939,
0.2185,22.875,-0.312437542,0.312437542,
0.2185,23,-0.313611775,0.313611775,
0.2185,23.125,-0.314783357,0.314783357,
0.2185,23.25,-0.315953615,0.315953615,
0.2185,23.375,-0.317123917,0.317123917,
0.2185,23.5,-0.318295657,0.318295657,
0.2185,23.625,-0.319470237,0.319470237,
0.2185,23.75,-0.320649055,0.320649055,
0.2185,23.875,-0.321833482,0.321833482,
0.2185,24,-0.32302485,0.32302485,
0.2185,24.125,-0.324224434,0.324224434,
0.2185,24.25,-0.325433438,0.325433438,
0.2185,24.375,-0.326652983,0.326652983,
0.2185,24.5,-0.327884095,0.327884095,
0.2185,24.625,-0.329127695,0.329127695,
0.2185,24.75,-0.330384593,0.330384593,
0.2185,24.875,-0.331655479,0.331655479,
0.2185,25,-0.332940924,0.332940924,
0.2185,25.125,-0.334241372,0.334241372,
0.2185,25.25,-0.335557145,0.335557145,
0.2185,25.375,-0.336888437,0.336888437,
0.2185,25.5,-0.338235321,0.338235321,
0.2185,25.625,-0.33959775,0.33959775,
0.2185,25.75,-0.340975556,0.340975556,
0.2185,25.875,-0.342368457,0.342368457,
0.2185,26,-0.343776062,0.343776062,
0.2185,26.125,-0.345197869,0.345197869,
0.2185,26.25,-0.346633275,0.346633275,
0.2185,26.375,-0.348081577,0.348081577,
0.2185,26.5,-0.349541973,0.349541973,
0.2185,26.625,-0.351013571,0.351013571,
0.2185,26.75,-0.352495392,0.352495392,
